Source	Character	Field	OldValue	NewValue
h	禍	primitives	示咼	礻咼
h	祷	primitives	示寿	礻寿
h	禎	primitives	示貞	礻貞
h	祀	primitives	示巳	⺬巳
h	祇	primitives	示氏	⺬氏

######## 才 -> [genie_in_the_bottle] #######

######## 米 -> 氺 #######
h	様	primitives	木羊米	木羊氺
h	藤	primitives	艹月[quarter]米	艹月[quarter]氺
h	求	primitives	弋米	弋氺
h	暴	primitives	日共米	日共氺
h	録	primitives	金ヨ米	金ヨ氺
h	緑	primitives	糸ヨ米	糸ヨ氺
h	泰	primitives	𡗗米	𡗗氺
h	膝	primitives	肉木𠆢米	肉木𠆢氺
h	黎	primitives	禾勹丿𠆢米	禾勹丿𠆢氺
h	录	primitives	ヨ米	ヨ氺
h	隶	primitives	肀米	肀氺



######## 戸 -> 戶 #######


######## 老 -> ⺹ #######
h	者	primitives	老日	⺹日
h	考	primitives	老[slingshot]	⺹[slingshot]
h	老	primitives	老匕	⺹匕
h	孝	primitives	老子	⺹子

######## 泉 -> [spring-small] #######

######## 牛 -> ⺧ #######

######## 羽 -> 羽 #######

######## 並 -> 亚 #######

######## 並 -> 业 #######
h	霊	primitives	並未	雨二业
h	繊	primitives	糸𢦏並	糸𢦏业
h	顕	primitives	日並頁	日业頁

######## 並 -> [row-bottom] #######

######## 並 -> [in_a_row_upside_down] #######
h	業	primitives	並未	[in_a_row_upside_down]未
h	撲	primitives	扌並夫	扌[in_a_row_upside_down]未
h	叢	primitives	扌並夫	[in_a_row_upside_down]土取
h	鑿	primitives	並丨臼殳金	[in_a_row_upside_down]臼丨殳金


######## 刀 -> 刂 #######
cs	剥	primitives	录刀	录刂
h	剄	primitives	巠刀	巠刂
h	別	primitives	口勹刀	口勹刂
h	利	primitives	禾刀	禾刂
h	判	primitives	半刀	半刂
h	制	primitives	牛巾刀	牛巾刂
h	剣	primitives	㑒刀	㑒刂
h	割	primitives	害刀	害刂
h	刺	primitives	朿刀	朿刂
h	刻	primitives	亥刀	亥刂
h	到	primitives	至刀	至刂
h	創	primitives	倉刀	倉刂
h	副	primitives	畐刀	畐刂
h	罰	primitives	罒言刀	罒言刂
h	列	primitives	歹刀	歹刂
