Source	Character	Field	OldValue	NewValue
h	抓	primitives		扌爪
h	蒻	primitives		艹弱
h	菲	primitives		艹非
h	陌	primitives		阜百
h	粂	primitives		久米
h	懈	primitives		忄解
h	潼	primitives		氵童
h	筬	primitives		竹成
h	臾	primitives		臼人
h	睹	primitives		目者
h	擺	primitives		扌罷
h	弍	primitives		弋二
h	嗄	primitives		口夏
h	崋	primitives		山
h	廸	primitives		廴由
h	瘠	primitives		疒脊
h	笊	primitives		竹爪
h	厦	primitives		厂夏
h	裃	primitives		衤上下
h	皙	primitives		析白
h	妍	primitives		女开
h	恚	primitives		圭心
h	甍	primitives		艹罒冖瓦
h	皴	primitives		夋皮
h	搓	primitives		扌差
h	琿	primitives		王軍
h	揩	primitives		扌皆
h	絋	primitives		糸広
h	甸	primitives		勹田
h	蟠	primitives		虫番
h	渙	primitives		氵奐
h	鮹	primitives		魚肖
h	鐐	primitives		金尞
h	俤	primitives		亻弟
h	阮	primitives		阜元
h	萃	primitives		艹卒
h	邵	primitives		召⻏
h	岑	primitives		山今
h	鉅	primitives		金巨
h	騏	primitives		馬其
h	粮	primitives		米良
h	溥	primitives		氵尃
h	蹌	primitives		足倉
h	踉	primitives		足良
h	嬲	primitives		男女
h	隧	primitives		阜遂
h	祁	primitives		示⻏
h	犁	primitives		利牛
h	斌	primitives		文武
h	膊	primitives		月尃
h	檮	primitives		木壽
h	垓	primitives		土亥
h	僣	primitives		亻替
h	豌	primitives		豆宛
h	鴿	primitives		合鳥
h	點	primitives		黑占
h	沱	primitives		氵它
h	收	primitives		丩攵
h	麸	primitives		麦夫
h	沓	primitives		水日
h	拔	primitives		扌友丶
h	瑪	primitives		王馬
h	繃	primitives		糸崩
h	吭	primitives		口亢
h	軼	primitives		車失
h	炮	primitives		火包
h	鵯	primitives		卑鳥
h	麼	primitives		麻幺
h	凩	primitives		几木
h	辯	primitives		辛言
h	隴	primitives		阜龍
h	恃	primitives		忄寺
h	覓	primitives		爪見
h	酣	primitives		酉甘
h	徇	primitives		彳旬
h	岫	primitives		山由
h	猗	primitives		犭奇
h	癜	primitives		疒殿
h	鵞	primitives		我鳥
h	蓚	primitives		艹修
h	謔	primitives		言虐
h	陞	primitives		阜升土
h	埓	primitives		土寸
h	拵	primitives		扌存
h	瓷	primitives		次瓦
h	焜	primitives		火昆
h	綰	primitives		糸官
h	鞴	primitives		革艹厂用
h	逍	primitives		辶肖
h	挧	primitives		扌羽
h	葯	primitives		艹約
h	窖	primitives		穴告
h	爨	primitives		臼同冖林大火
h	蹲	primitives		足尊
h	踞	primitives		足居
h	薨	primitives		艹罒冖死
h	魃	primitives		鬼友丶
h	湫	primitives		氵秋
h	聨	primitives		耳幺开
h	屎	primitives		尸米
h	叟	primitives		臼丨又
h	飫	primitives		食夭
h	卷	primitives		[quarter]㔾
h	嵬	primitives		山鬼
h	搗	primitives		扌島
h	醴	primitives		酉豊
h	怙	primitives		忄古
h	袱	primitives		衤伏
h	蜍	primitives		虫余
h	趁	primitives		走㐱
h	洙	primitives		氵朱
h	惶	primitives		忄皇
h	絮	primitives		如糸
h	皎	primitives		白交
h	瑰	primitives		王鬼
h	蒂	primitives		艹帝
h	芬	primitives		艹分
h	覡	primitives		巫見
h	萇	primitives		艹長
h	挂	primitives		扌圭
h	碕	primitives		石奇
h	趺	primitives		足夫
h	苡	primitives		艹以
h	鬚	primitives		髟須
h	瘋	primitives		疒風
h	枸	primitives		木句
h	潁	primitives		匕水頁
h	俥	primitives		亻車
