Source	Character	Field	OldValue	NewValue
rrtk	女	story		To remember the order of strokes, remember a female ninja is called a "kunoichi". That is, く(hiragana) ノ(katakana) 一 (kanji, ichi=one).
rrtk	好	keywords		fond
rrtk	好	story		A <em>woman</em> (女) is<strong> fond</strong> of her <em>child </em>(子).
rrtk	如	keywords		likeness
rrtk	如	story		<em>Women</em> (女) share a common <strong>likeness</strong>. Their <em>mouths</em> (口) are always open, whining about this and that.
rrtk	母	keywords		mother
rrtk	母	story		The two breasts of a <b>mother</b> who breastfeeds.
rrtk	貫	keywords		pierce
rrtk	貫	story		Ariel the Little Mermaid's <em>clamshell</em> (貝) bra was held to her <em>breasts</em> (母) by <strong>piercings</strong>.
rrtk	兄	keywords		elder brother
rrtk	兄	story		My<strong> elder brother</strong> was basically a <i>mouth</i> (口) on <i>human legs</i> (儿) when he was a teenager.
rrtk	克	keywords		overcome
rrtk	克	story		<i>Ten</i> (十) <i>elder brothers</i> (兄) can<strong> overcome</strong> anything.
rrtk	小	keywords		little
rrtk	小	story		A<strong> little</strong> penguin with its wings at its side.
rrtk	少	keywords		few
rrtk	少	story		<strong>Few</strong> usually refers to three. To emphasize three, we underline the three drops in <i>little</i> (小).
rrtk	大	keywords		large
rrtk	大	story		<i>One</i> (一) <i>person</i> (人) showing itself<strong> large/big</strong> by widening its arms to scare a bear away.<br>大丈夫<br>
rrtk	多	keywords		many
rrtk	多	story		Two <i>evenings</i> (夕) too <b>many</b>.
rrtk	夕	keywords		evening
rrtk	夕	story		In the<strong> evening</strong>, <i>ta</i> (タ) crescent moon hangs in <i>ta</i> (タ) sky.
rrtk	汐	keywords		eventide
rrtk	汐	story		<em>Drops</em> (氵) of water shower the beach as the <em>evening</em> (夕) tide approaches:<strong> eventide</strong>.
rrtk	外	keywords		outside
rrtk	外	story		A young magician likes to practice<strong> outside</strong> in the <em>evening</em> (夕) with his <em>magic wand</em> (卜).
rrtk	名	keywords		name
rrtk	名	story		In the <i>evening</i> (夕), her sweet <i>mouth</i> (口) whispered my<strong> name</strong>.<br>君の名は。(きみ.の.な.は)[Your name.]<br>
rrtk	石	keywords		stone
rrtk	石	story		Indiana Jones jumps up and grabs the lip of <em>cliff</em> (厂) just in time to evade the huge <b>stone</b> rolling out of the <em>mouth</em> (口) of the cave!<br>一石二鳥 (いっ.せき.に.ちょう)[killing two birds with one stone]<br>
rrtk	肖	keywords		resemblance
rrtk	肖	story		This wheel of cheese bears a <i>little</i> (小) <b>resemblance</b> to the <i>moon</i> (月).
rrtk	硝	keywords		nitrate
rrtk	硝	story		That <i>stone</i> (石) bears a <i>resemblance</i> (肖) to real<strong> nitrate</strong>.
rrtk	砕	keywords		smash
rrtk	砕	story		To<strong> </strong><b>smash</b> a <i>stone</i> (石) you need to hit it <i>nine</i> (九) or <i>ten</i> (十) times, maybe even <i>ninety</i> (卆) times.
rrtk	砂	keywords		sand
rrtk	砂	story		In good <strong>sand</strong>, <i>stones</i> (石) are <i>few</i> (少), if any.<br>
rrtk	削	keywords		plane
rrtk	削	story		Something that has a <i>resemblance</i> (肖) to a whetstone will suffice to <b>plane</b> your <i>sword</i> (刂).
rrtk	光	keywords		ray
rrtk	光	story		A<strong> ray</strong> of light is not a wave, but instead it's made of <em>little</em> (小) photons with <em>human legs </em>(兀).
rrtk	太	keywords		plump
rrtk	太	story		A <em>large</em> (大) person with a big <em>drop</em> (丶) of sweat dripping off of him because he is so<strong> plump</strong>.
rrtk	器	keywords		container
rrtk	器	story		A <i>large</i> (大) <strong>container</strong> of food is enough to feed four <i>mouths</i> (口).
rrtk	臭	keywords		stinking
rrtk	臭	story		The <i>St. Bernard Dog</i> (大) lifted his large <i>nose</i> (自) high in the air to find out where the<strong> stinking</strong> smell comes from
rrtk	妙	keywords		weird
rrtk	妙	story		That <b>weird</b> <i>woman</i> (女) has very <i>few</i> (少) friends.
rrtk	省	keywords		focus
rrtk	省	story		<i>Few</i> (少) distractions will catch your <em>eye</em> (目) if you have<strong> focus</strong>.
rrtk	厚	keywords		thick
rrtk	厚	story		The <strong>thick</strong> <em>cliff</em> (厂) walls protected the <em>children</em> (子) from the <em>sun</em> (日).
rrtk	奇	keywords		strange
rrtk	奇	story		<i>Can</i> (可) you imagine something as <b>strange</b> as a <i>large</i> (大) mammoth walking through city blocks?
rrtk	川	keywords		stream
rrtk	川	story		<em>Three</em><strong> stream</strong>s grouped together might cause a flood!
rrtk	州	keywords		state
rrtk	州	story		There were 3 little <i>drops</i> (丶) of islands in the <em>stream</em> (川) who all decided to set themselves up as independent <strong>states</strong>.
rrtk	順	keywords		obey
rrtk	順	story		"Obey,<strong> Obey</strong>!" says the brain-washing scientist as he sends a <em>stream</em> (川) of orders to fill your <em>head </em>(頁).
rrtk	水	keywords		water
rrtk	水	story		Dropping the <em>walking stick</em> (丨) into the<strong> water</strong> sent out <em>droplets</em> (丶) in 4 directions.
rrtk	氷	keywords		icicle
rrtk	氷	story		A <em>drop</em> (丶) in temperature turns <em>water</em> (水) into an <strong>icicle</strong>. This is NOT <i>eternity</i> (永).
